name,leaf_group,hierarchy_path,level_0,level_1,level_2,level_3,level_4,level_5,level_6,outline_level
Подарочный набор 6200,Комплекты Бытовая химия,Непродовольственные товары / Бытовая химия / Комплекты Бытовая химия,Непродовольственные товары,Бытовая химия,Комплекты Бытовая химия,,,,,3
Освежитель Air Wick Гавайский ритм 290мл,Освежители аэрозольные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители аэрозольные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители аэрозольные,,,5
Освежитель Air Wick Сибирская сказка 290мл,Освежители аэрозольные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители аэрозольные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители аэрозольные,,,5
Освежитель Air Wick Французская Ривьера 290мл,Освежители аэрозольные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители аэрозольные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители аэрозольные,,,5
Освежитель Shocker Лаванда 350мл,Освежители аэрозольные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители аэрозольные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители аэрозольные,,,5
Освежитель Shocker Океан 350мл,Освежители аэрозольные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители аэрозольные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители аэрозольные,,,5
Освежитель Shocker Свежесть утренней росы 350мл,Освежители аэрозольные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители аэрозольные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители аэрозольные,,,5
Освежитель воздуха Arluni имбирь лемонграсс сменный баллон 250мл,Освежители аэрозольные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители аэрозольные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители аэрозольные,,,5
Освежитель воздуха Arluni липа зелень с триггером 250мл,Освежители аэрозольные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители аэрозольные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители аэрозольные,,,5
Освежитель воздуха Грасс 400мл Либерти,Освежители аэрозольные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители аэрозольные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители аэрозольные,,,5
Освежитель воздуха Грасс 400мл Фреш,Освежители аэрозольные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители аэрозольные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители аэрозольные,,,5
Освежитель воздуха Симфони Premium 300мл Изумрудная роса,Освежители аэрозольные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители аэрозольные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители аэрозольные,,,5
Освежитель воздуха Симфони Premium 300мл Хрустальная свежесть,Освежители аэрозольные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители аэрозольные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители аэрозольные,,,5
Освежитель воздуха Симфония 300мл Антитабак,Освежители аэрозольные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители аэрозольные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители аэрозольные,,,5
Освежитель воздуха Симфония 300мл Весенняя Свежесть,Освежители аэрозольные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители аэрозольные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители аэрозольные,,,5
Освежитель воздуха Симфония 300мл Ландыш,Освежители аэрозольные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители аэрозольные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители аэрозольные,,,5
Освежитель воздуха Симфония Авокадо и мята 250мл с триггером,Освежители аэрозольные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители аэрозольные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители аэрозольные,,,5
Освежитель воздуха Симфония Морозное бельё 250мл с триггером,Освежители аэрозольные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители аэрозольные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители аэрозольные,,,5
Освежитель воздуха Синергетик Имбирь и лемонграсс 380мл,Освежители аэрозольные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители аэрозольные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители аэрозольные,,,5
Освежитель воздуха Синергетик Пачули и нероли 380мл,Освежители аэрозольные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители аэрозольные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители аэрозольные,,,5
Освежитель Глейд Морской 300мл,Освежители аэрозольные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители аэрозольные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители аэрозольные,,,5
Освежитель Глейд Океанский оазис 300мл,Освежители аэрозольные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители аэрозольные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители аэрозольные,,,5
Освежитель Глейд После дождя 300мл,Освежители аэрозольные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители аэрозольные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители аэрозольные,,,5
Освежитель Грасс воздуха Milana Spring Bloom 300мл,Освежители аэрозольные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители аэрозольные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители аэрозольные,,,5
Освежитель Мастер Фреш Горная лаванда 300мл,Освежители аэрозольные,Непродовольственные товары / Бытовая химия / Средства по уходу за домом / Освежители / Освежители аэрозольные,Непродовольственные товары,Бытовая химия,Средства по уходу за домом,Освежители,Освежители аэрозольные,,,5
